Open,High,Low,Volume,Adj Close
2450,2542.550049,2431,5572,2398.945068
2575,2598,2530.300049,3620,2406.021484
2540,2599,2422.550049,8347,2431.730957
2535,2560,2470,2831,2370.639404
2545,2555,2480,5054,2357.806885
2549,2623.899902,2532,4582,2475.700195
2660,2660,2510,5758,2387.292969
2506,2569,2457.149902,4130,2333.37085
2500,2545,2480,3489,2357.666016
2500,2505,2440,2452,2314.121582
2490,2499,2384,3013,2264.304443
2460,2460,2381,1832,2257.747559
2405,2437.949951,2380,2763,2254.728516
2419,2419,2365,1413,2262.748291
2366.5,2400,2330,1227,2215.099609
2306,2365,2301,4397,2212.740723
2315,2340,2295,1556,2190.2854
2335,2405,2330,2159,2254.82251
2380,2444,2380,2443,2279.589111
2440,2487.899902,2399,2805,2294.544434
2426,2450,2396,2339,2275.57959
2428,2459,2405,1512,2277.796875
2425,2643.899902,2425,6922,2372.66748
2570,2639,2532,6976,2451.310059
2648,2675,2601,5432,2489.428955
2650,2760,2650,11789,2571.09082
2775,2800,2710,7808,2585.337158
2798.25,2799,2710,10401,2565.948242
2770,2819.949951,2749,6230,2611.001465
2730,2785,2675.149902,4551,2538.585205
2700,2738.75,2600,9392,2468.859131
2650,2665,2574,5520,2461.595215
2620,2698.899902,2620,4745,2533.679443
2670,2710,2625,2437,2531.838867
2694,2694,2630,2178,2530.754639
2704,2704,2631,3132,2493.532471
2677,2688,2635,1643,2488.343262
2675,2750,2660,8661,2543.775391
2685,2860,2680.100098,19524,2641.335938
2800,2940,2800,21058,2704.408203
2924.949951,2925,2830,8230,2692.143555
2860,2899,2850,3987,2731.018311
2621.050049,3150,2621.050049,32056,2913.352783
3150,3157,3075,9799,2939.284424
3120,3185,3000,9068,2949.287109
3140,3160,3035,7124,2945.44751
3124,3125,2981.25,6447,2842.428223
2985,3060,2901.100098,6112,2831.80835
3050,3050,2960,2945,2812.46582
2985,3065,2875.199951,8617,2872.580078
3098.899902,3125,3025,6070,2895.099365
3037.850098,3060,3000,3237,2866.085449
2980,2999.949951,2905,6197,2792.745117
3025,3025,2915,5882,2822.137695
2990,2992,2940.050049,4080,2797.29541
2905,2948,2905,4826,2777.573486
2950,2970,2905,3851,2775.630127
2997.550049,2997.550049,2920,2258,2788.430664
2931,2950,2753.5,9434,2657.67749
